"ID","Age","Income","Education","City","Department","Score","Years_Experience","Satisfaction","Salary_Bonus","Performance_Rating"
1,66,34415.82,"Master","Houston","HR",85.8,12,6,807.73,"Fair"
2,54,35660.88,"Master","Phoenix","Finance",52.8,18,10,6660.67,"Good"
3,18,30583.74,"Bachelor","New York","Sales",86.3,30,2,4448.37,"Good"
4,42,71724.15,"Bachelor","Phoenix","Marketing",42.2,14,10,5051.07,"Good"
5,27,77299.44,"Master","Phoenix","HR",98.3,15,8,8231.42,"Good"
6,53,46741.1,"Bachelor","Los Angeles","Engineering",85.5,26,5,4651.65,"Good"
7,35,32420.45,"Bachelor","New York","Engineering",75.8,22,3,5472.49,"Fair"
8,75,53241.37,"High School","Los Angeles","Engineering",38.6,16,10,5299.01,"Good"
9,66,99838.07,"High School","Chicago","HR",73.7,21,4,8071.19,"Good"
10,64,95826.26,"High School","Los Angeles","Marketing",63.9,21,9,4380.43,"Excellent"
11,41,20603.99,"PhD","Houston","Finance",92.5,28,8,3396.33,"Fair"
12,24,47861.87,"Bachelor","Phoenix","Engineering",50.5,13,5,3520.37,"Fair"
13,53,85665.61,"Master","New York","Sales",50.8,24,9,805.44,"Fair"
14,42,54235.12,"Bachelor","New York","Engineering",71.6,29,2,1262.14,"Excellent"
15,54,86948.26,"Master","Chicago","Marketing",74.2,12,3,7604.02,"Good"
16,63,48328.29,"Master","New York","Marketing",65.6,9,5,4893.23,"Excellent"
17,37,67099.72,"Bachelor","Los Angeles","HR",72.2,25,6,5152.42,"Good"
18,43,NA,"Bachelor","Los Angeles","Engineering",71.1,28,9,5461.15,"Excellent"
19,67,119581.39,"High School","Houston","HR",67.1,24,6,7409.56,"Good"
20,64,73409.05,"High School","Houston","Finance",64.9,21,6,4446.34,"Good"
21,20,NA,"Master","Los Angeles","Finance",72.6,20,9,4661.31,"Good"
22,58,42922.38,"High School","Houston","Engineering",89.5,19,1,6868.39,"Good"
23,42,62404.71,"Bachelor","Chicago","Engineering",102.9,7,5,7250.75,"Good"
24,44,16979.99,"Master","Houston","HR",90.3,16,3,6957.06,"Excellent"
25,53,18911.8,"Master","Houston","Finance",75.7,29,3,2682.65,"Excellent"
26,54,32563.55,"High School","New York","HR",57,12,8,5398.15,"Fair"
27,48,48041.41,"Bachelor","Los Angeles","Sales",88.6,22,3,4105.48,"Excellent"
28,62,79778.04,"Bachelor","Chicago","Finance",96.9,0,4,4096.16,"Good"
29,22,49516.05,"Bachelor","Houston","Engineering",72.2,1,9,5571.15,"Good"
30,37,58247.61,"Master","Los Angeles","Sales",72.1,13,7,8090.1,"Fair"
31,51,53707.86,"PhD","New York","Sales",93.6,10,7,1563.41,"Good"
32,45,40895.26,"High School","Phoenix","Sales",77.8,24,5,3322.66,"Excellent"
33,57,82243.95,"High School","New York","Marketing",109.1,29,6,4948.39,"Excellent"
34,20,33069.74,"PhD","Houston","Engineering",74.2,18,7,4234.44,"Excellent"
35,75,50431.33,"High School","New York","HR",50.8,4,5,6701.86,"Excellent"
36,50,48043.44,"Master","Los Angeles","Marketing",90.9,25,6,4601.76,"Fair"
37,59,65642.57,"Master","Houston","Sales",80.4,28,5,4046.57,"Good"
38,41,87144.69,"Bachelor","Houston","Sales",71,15,10,7826.84,"Good"
39,47,65276.29,"High School","Chicago","Finance",56.2,4,10,6865.06,"Good"
40,60,82647.46,"High School","Houston","Finance",88.1,19,6,2969.01,"Poor"
41,32,70261.94,"Master","Phoenix","Finance",83.9,10,5,1447.56,"Fair"
42,39,42508.31,"Bachelor","Phoenix","Sales",79.1,23,7,5468.66,"Good"
43,75,56630.88,"Bachelor","Phoenix","Engineering",98.3,3,6,9800.97,"Good"
44,25,82521.58,"Bachelor","Phoenix","Finance",59,9,2,4017.38,"Fair"
45,53,23774.68,"Bachelor","Chicago","HR",78.1,24,6,2230.67,"Good"
46,21,61495.41,"Master","Los Angeles","Marketing",71.3,6,7,2853.18,"Fair"
47,39,51864.19,"High School","New York","HR",82.7,5,10,2347.21,"Good"
48,35,72555.68,"Bachelor","New York","Finance",81.6,16,2,4306.9,"Poor"
49,62,70003.33,"Bachelor","Los Angeles","Finance",73.2,18,9,6937.13,"Good"
50,45,61021.07,"PhD","New York","Marketing",52.5,17,4,5621.06,"Good"
51,22,84856.22,"Bachelor","Chicago","Marketing",75.7,24,5,7050.51,"Good"
52,21,24490.12,"Bachelor","Los Angeles","Marketing",97.2,2,2,7345.08,"Poor"
53,51,73214.35,"High School","Houston","Sales",45.5,26,2,5479.36,"Fair"
54,73,23409.36,"Bachelor","Chicago","Marketing",66.9,10,7,5717.82,"Excellent"
55,67,66754.33,"PhD","Houston","Engineering",82.5,3,4,3057.08,"Excellent"
56,52,56792.85,"Bachelor","Houston","Sales",58.6,2,8,6330.74,"Good"
57,41,74345.23,"High School","Los Angeles","Marketing",59.6,17,10,5164.6,"Good"
58,40,56576.25,"Bachelor","Los Angeles","Finance",59.8,15,2,3451.69,"Excellent"
59,66,23626,"Master","New York","Engineering",63.3,20,9,4316.98,"Poor"
60,70,14843.54,"High School","New York","Engineering",80.4,25,3,5416.84,"Poor"
61,43,65819.47,"Master","Chicago","Finance",105,11,6,9841.72,"Good"
62,67,53532.47,"Bachelor","Phoenix","Engineering",83.3,3,8,7562.35,"Fair"
63,23,43579.63,"High School","Houston","HR",62.9,22,9,3167.6,"Excellent"
64,23,48778.63,"High School","New York","Engineering",66.6,1,6,6308.77,"Excellent"
65,19,41571.7,"Master","New York","Engineering",58.7,7,10,3241.86,"Fair"
66,69,51853.19,"Bachelor","Phoenix","Engineering",64.2,16,10,6157.83,"Good"
67,20,36373.9,"High School","Phoenix","Marketing",64.6,20,4,2500.73,"Fair"
68,71,15339.81,"High School","Houston","Marketing",96.2,23,7,2142.65,"Fair"
69,38,50608,"Bachelor","Phoenix","Finance",84.6,11,2,5363.34,"Poor"
70,19,75905.52,"Master","Los Angeles","Finance",49.2,8,7,6835.5,"Fair"
71,72,92546.59,"High School","Los Angeles","Finance",87.4,11,4,3146.02,"Good"
72,55,55052.12,"High School","Houston","HR",94.2,24,8,6894.8,"Good"
73,75,53386.6,"Bachelor","Phoenix","Marketing",71.5,16,7,7490.4,"Excellent"
74,27,74259.65,"Bachelor","Phoenix","Finance",95.4,29,10,6314.29,"Excellent"
75,57,56071.42,"Bachelor","Houston","Finance",80.1,29,5,7235.02,"Good"
76,22,46302.03,"Bachelor","New York","Engineering",84.6,7,2,5224.16,"Good"
77,50,20254.05,"High School","Phoenix","Marketing",70.2,1,2,8492.04,"Fair"
78,66,29726.09,"PhD","Houston","Marketing",96.6,29,4,6890.66,"Good"
79,56,NA,"High School","Phoenix","Marketing",75.8,10,8,5418.32,"Good"
80,53,25806.92,"PhD","Houston","Finance",71,22,1,3825.79,"Good"
81,62,75969.15,"Bachelor","New York","Engineering",82,29,8,5360.37,"Good"
82,59,28071.39,"High School","Phoenix","Marketing",73.3,1,10,7460.41,"Good"
83,26,51128.59,"Master","Houston","HR",71.2,23,8,NA,"Good"
84,46,54953.28,"Master","Chicago","Sales",85.9,11,7,3636.15,"Good"
85,29,54743.41,"Bachelor","Phoenix","Engineering",72,3,6,3360.26,"Good"
86,37,58038.95,"Bachelor","Houston","Finance",68.7,19,7,6072.56,"Fair"
87,26,66970.22,"Bachelor","Los Angeles","HR",66.9,23,10,3035.42,"Good"
88,60,52475.75,"Master","Los Angeles","HR",54.1,21,7,7744.85,"Fair"
89,52,50029.29,"Master","Phoenix","Sales",99.1,3,5,4908.99,"Good"
