"var1","var2","correlation","abs_correlation","strength"
"Years_Experience","Satisfaction",-0.0643,0.0643,"Weak"
"Income","Satisfaction",0.0594,0.0594,"Weak"
"Score","Satisfaction",-0.0454,0.0454,"Weak"
"Income","Years_Experience",-0.0399,0.0399,"Weak"
"Score","Salary_Bonus",0.0385,0.0385,"Weak"
"Age","Satisfaction",-0.0375,0.0375,"Weak"
"Years_Experience","Salary_Bonus",-0.0375,0.0375,"Weak"
"Age","Salary_Bonus",0.0332,0.0332,"Weak"
"Age","Income",-0.0303,0.0303,"Weak"
"ID","Score",0.0289,0.0289,"Weak"
"Age","Score",0.0222,0.0222,"Weak"
"ID","Years_Experience",0.0175,0.0175,"Weak"
"Income","Salary_Bonus",0.0159,0.0159,"Weak"
"ID","Age",0.0125,0.0125,"Weak"
"Income","Score",-0.0092,0.0092,"Weak"
"ID","Satisfaction",-0.0087,0.0087,"Weak"
"ID","Salary_Bonus",0.0085,0.0085,"Weak"
"Satisfaction","Salary_Bonus",-0.0081,0.0081,"Weak"
"Score","Years_Experience",0.007,0.007,"Weak"
"Age","Years_Experience",0.0049,0.0049,"Weak"
"ID","Income",-0.0011,0.0011,"Weak"
