"variable","bin_start","bin_end","bin_center","count","density"
"Age",18,20,19,40,0.02
"Age",20,22,21,25,0.0125
"Age",22,24,23,25,0.0125
"Age",24,26,25,28,0.014
"Age",26,28,27,37,0.0185
"Age",28,30,29,20,0.01
"Age",30,32,31,26,0.013
"Age",32,34,33,27,0.0135
"Age",34,36,35,31,0.0155
"Age",36,38,37,43,0.0215
"Age",38,40,39,26,0.013
"Age",40,42,41,35,0.0175
"Age",42,44,43,32,0.016
"Age",44,46,45,40,0.02
"Age",46,48,47,35,0.0175
"Age",48,50,49,32,0.016
"Age",50,52,51,42,0.021
"Age",52,54,53,35,0.0175
"Age",54,56,55,33,0.0165
"Age",56,58,57,29,0.0145
"Age",58,60,59,45,0.0225
"Age",60,62,61,35,0.0175
"Age",62,64,63,33,0.0165
"Age",64,66,65,32,0.016
"Age",66,68,67,32,0.016
"Age",68,70,69,22,0.011
"Age",70,72,71,35,0.0175
"Age",72,74,73,31,0.0155
"Age",74,76,75,36,0.018
"Age",76,78,77,27,0.0135
"Age",78,80,79,31,0.0155
