"variable","bin_start","bin_end","bin_center","count","density"
"ID",0,50,25,50,0.001
"ID",50,100,75,50,0.001
"ID",100,150,125,50,0.001
"ID",150,200,175,50,0.001
"ID",200,250,225,50,0.001
"ID",250,300,275,50,0.001
"ID",300,350,325,50,0.001
"ID",350,400,375,50,0.001
"ID",400,450,425,50,0.001
"ID",450,500,475,50,0.001
"ID",500,550,525,50,0.001
"ID",550,600,575,50,0.001
"ID",600,650,625,50,0.001
"ID",650,700,675,50,0.001
"ID",700,750,725,50,0.001
"ID",750,800,775,50,0.001
"ID",800,850,825,50,0.001
"ID",850,900,875,50,0.001
"ID",900,950,925,50,0.001
"ID",950,1000,975,50,0.001
