"variable","bin_start","bin_end","bin_center","count","density"
"Income",-15000,-10000,-12500,1,0
"Income",-10000,-5000,-7500,1,0
"Income",-5000,0,-2500,2,0
"Income",0,5000,2500,5,1e-06
"Income",5000,10000,7500,6,1e-06
"Income",10000,15000,12500,12,2e-06
"Income",15000,20000,17500,18,4e-06
"Income",20000,25000,22500,32,7e-06
"Income",25000,30000,27500,28,6e-06
"Income",30000,35000,32500,62,1.3e-05
"Income",35000,40000,37500,64,1.3e-05
"Income",40000,45000,42500,80,1.6e-05
"Income",45000,50000,47500,94,1.9e-05
"Income",50000,55000,52500,94,1.9e-05
"Income",55000,60000,57500,98,2e-05
"Income",60000,65000,62500,86,1.8e-05
"Income",65000,70000,67500,84,1.7e-05
"Income",70000,75000,72500,69,1.4e-05
"Income",75000,80000,77500,47,1e-05
"Income",80000,85000,82500,39,8e-06
"Income",85000,90000,87500,28,6e-06
"Income",90000,95000,92500,13,3e-06
"Income",95000,1e+05,97500,7,1e-06
"Income",1e+05,105000,102500,2,0
"Income",105000,110000,107500,5,1e-06
"Income",110000,115000,112500,0,0
"Income",115000,120000,117500,2,0
"Income",120000,125000,122500,1,0
