"variable","bin_start","bin_end","bin_center","count","density"
"Satisfaction",1,1.5,1.25,105,0.21
"Satisfaction",1.5,2,1.75,95,0.19
"Satisfaction",2,2.5,2.25,0,0
"Satisfaction",2.5,3,2.75,102,0.204
"Satisfaction",3,3.5,3.25,0,0
"Satisfaction",3.5,4,3.75,85,0.17
"Satisfaction",4,4.5,4.25,0,0
"Satisfaction",4.5,5,4.75,89,0.178
"Satisfaction",5,5.5,5.25,0,0
"Satisfaction",5.5,6,5.75,93,0.186
"Satisfaction",6,6.5,6.25,0,0
"Satisfaction",6.5,7,6.75,111,0.222
"Satisfaction",7,7.5,7.25,0,0
"Satisfaction",7.5,8,7.75,104,0.208
"Satisfaction",8,8.5,8.25,0,0
"Satisfaction",8.5,9,8.75,104,0.208
"Satisfaction",9,9.5,9.25,0,0
"Satisfaction",9.5,10,9.75,112,0.224
