"variable","bin_start","bin_end","bin_center","count","density"
"Score",25,30,27.5,2,0.000404
"Score",30,35,32.5,3,0.000606
"Score",35,40,37.5,10,0.00202
"Score",40,45,42.5,15,0.00303
"Score",45,50,47.5,22,0.004444
"Score",50,55,52.5,45,0.009091
"Score",55,60,57.5,72,0.014545
"Score",60,65,62.5,108,0.021818
"Score",65,70,67.5,95,0.019192
"Score",70,75,72.5,139,0.028081
"Score",75,80,77.5,116,0.023434
"Score",80,85,82.5,122,0.024646
"Score",85,90,87.5,89,0.01798
"Score",90,95,92.5,64,0.012929
"Score",95,100,97.5,47,0.009495
"Score",100,105,102.5,20,0.00404
"Score",105,110,107.5,9,0.001818
"Score",110,115,112.5,6,0.001212
"Score",115,120,117.5,6,0.001212
