"variable","bin_start","bin_end","bin_center","count","density"
"Years_Experience",0,1,0.5,65,0.065
"Years_Experience",1,2,1.5,35,0.035
"Years_Experience",2,3,2.5,44,0.044
"Years_Experience",3,4,3.5,29,0.029
"Years_Experience",4,5,4.5,27,0.027
"Years_Experience",5,6,5.5,34,0.034
"Years_Experience",6,7,6.5,34,0.034
"Years_Experience",7,8,7.5,22,0.022
"Years_Experience",8,9,8.5,39,0.039
"Years_Experience",9,10,9.5,26,0.026
"Years_Experience",10,11,10.5,35,0.035
"Years_Experience",11,12,11.5,37,0.037
"Years_Experience",12,13,12.5,20,0.02
"Years_Experience",13,14,13.5,27,0.027
"Years_Experience",14,15,14.5,35,0.035
"Years_Experience",15,16,15.5,44,0.044
"Years_Experience",16,17,16.5,27,0.027
"Years_Experience",17,18,17.5,43,0.043
"Years_Experience",18,19,18.5,24,0.024
"Years_Experience",19,20,19.5,35,0.035
"Years_Experience",20,21,20.5,33,0.033
"Years_Experience",21,22,21.5,30,0.03
"Years_Experience",22,23,22.5,35,0.035
"Years_Experience",23,24,23.5,30,0.03
"Years_Experience",24,25,24.5,32,0.032
"Years_Experience",25,26,25.5,36,0.036
"Years_Experience",26,27,26.5,32,0.032
"Years_Experience",27,28,27.5,30,0.03
"Years_Experience",28,29,28.5,24,0.024
"Years_Experience",29,30,29.5,36,0.036
