"ID","Age","Income","Education","City","Department","Score","Years_Experience","Satisfaction","Performance_Rating"
1,66,31030.08,"Bachelor","Houston","Finance",87.1,19,3,"Fair"
2,54,58800.38,"High School","Houston","HR",71.1,27,4,"Fair"
3,18,80954.12,"High School","Houston","HR",82.3,10,2,"Good"
4,42,34322.53,"Bachelor","Houston","HR",95.3,23,3,"Poor"
5,27,40231.18,"Bachelor","Phoenix","Finance",107.7,13,2,"Good"
6,53,55931.28,"High School","Chicago","Sales",75.8,8,2,"Fair"
7,35,34648.08,"High School","Phoenix","Marketing",62.4,3,3,"Fair"
8,75,47334.32,"Bachelor","Los Angeles","Engineering",58.7,10,8,"Poor"
9,66,72455.11,"High School","Los Angeles","Finance",66.8,26,9,"Excellent"
10,64,74390.9,"Bachelor","New York","HR",68.6,0,1,"Good"
11,41,62676.93,"PhD","New York","Marketing",NA,21,1,"Fair"
12,24,17968.89,"Bachelor","Chicago","Marketing",84,13,7,"Good"
13,53,53920.07,"High School","New York","Finance",96.4,26,1,"Fair"
14,42,76295.46,"Bachelor","Houston","Engineering",68.4,15,5,"Excellent"
15,54,71263.9,"High School","New York","Sales",59.4,6,8,"Excellent"
16,63,51183.67,"PhD","New York","HR",55.9,6,10,"Good"
17,37,1001.4,"Master","Los Angeles","Marketing",86.6,8,8,"Fair"
18,43,56219.33,"High School","Chicago","Sales",75.5,24,10,"Good"
19,67,66475.03,"High School","Phoenix","Sales",46.4,4,1,"Fair"
20,64,55916.07,"High School","Houston","Marketing",73.1,11,10,"Good"
21,20,58148.25,"High School","Phoenix","Finance",75,20,7,"Good"
22,58,63631.31,"Bachelor","Los Angeles","Engineering",62.3,23,2,"Good"
23,42,47069.01,"High School","Houston","Sales",56.7,2,6,"Good"
24,44,81199.56,"Master","Houston","Marketing",68.2,1,9,"Good"
25,53,64407.87,"Master","Chicago","Marketing",64.5,11,3,"Poor"
26,54,30146.59,"Master","New York","Engineering",64.9,9,5,"Fair"
27,48,82631.51,"Bachelor","New York","Finance",40.5,13,1,"Good"
28,62,79089.18,"Master","Chicago","HR",72.8,17,1,"Good"
29,22,71481.48,"Bachelor","Houston","Marketing",89.2,11,5,"Good"
30,37,21747.41,"High School","Los Angeles","Sales",92.3,26,7,"Good"
31,51,43613.87,"Bachelor","New York","HR",106.1,13,3,"Good"
32,45,67710.28,"PhD","New York","Marketing",79,5,9,"Good"
33,57,55874.44,"Bachelor","Chicago","Engineering",59.2,18,1,"Good"
34,20,61960.25,"Bachelor","Chicago","Marketing",82.5,30,6,"Good"
35,75,104191.87,"High School","Houston","Marketing",91.5,3,2,"Good"
36,50,38632.39,"Master","Houston","Sales",103.3,14,5,"Excellent"
37,59,12736,"PhD","Houston","Sales",87.2,14,4,"Excellent"
38,41,60473.91,"Master","Houston","Engineering",96.3,15,6,"Fair"
39,47,41248.06,"Bachelor","Phoenix","HR",81.6,26,3,"Good"
40,60,63920.82,"Bachelor","Phoenix","Engineering",55.8,25,9,"Good"
41,32,38752.31,"High School","Houston","Finance",62.1,22,4,"Good"
42,39,99241.11,"Master","Houston","Marketing",103.3,3,2,"Good"
43,75,52525.88,"Bachelor","New York","HR",85.6,9,2,"Good"
44,25,45453.29,"High School","Phoenix","Finance",65,22,8,"Good"
45,53,51674.77,"Master","New York","Finance",64.4,26,10,"Good"
46,21,72251.27,"High School","New York","HR",61.2,25,1,"Good"
47,39,56946.81,"Bachelor","Phoenix","Engineering",77.2,22,5,"Good"
48,35,22487.67,"Master","Phoenix","HR",71.2,16,2,"Good"
49,62,54907.58,"High School","Chicago","Finance",60.9,12,1,"Good"
50,45,70204.84,"High School","New York","HR",93.2,26,3,"Good"
51,22,55779.82,"High School","Los Angeles","HR",75.3,25,8,"Excellent"
52,21,69701.44,"Master","Phoenix","Finance",86.4,1,6,"Excellent"
53,51,52070.55,"Bachelor","Chicago","Marketing",69.3,28,9,"Excellent"
54,73,53842.25,"High School","New York","Marketing",77.6,30,5,"Excellent"
55,67,64647.39,"High School","Houston","Engineering",90.5,11,4,"Fair"
56,52,74858.87,"High School","Houston","Finance",85.1,19,7,"Fair"
57,41,30072.09,"High School","Los Angeles","Sales",89.1,22,4,"Good"
58,40,54330.25,"PhD","Houston","Marketing",47.6,29,7,"Good"
59,66,53580.76,"Master","Los Angeles","Finance",77.7,2,7,"Good"
60,70,39821.59,"Bachelor","Houston","Marketing",72.1,8,6,"Good"
61,43,34312.81,"Bachelor","Houston","Marketing",65.2,30,4,"Excellent"
62,67,42385.36,"Master","Los Angeles","Finance",66.6,4,1,"Excellent"
63,23,66736.15,"Bachelor","Chicago","Marketing",100.1,9,10,"Good"
64,23,46673.55,"PhD","Los Angeles","HR",81.5,28,2,"Good"
65,19,39302.24,"Master","Phoenix","Engineering",72.8,27,10,"Good"
66,69,58268.33,"High School","Houston","Sales",89.1,22,10,"Good"
67,20,30265.72,"Bachelor","Phoenix","Engineering",66.8,21,2,"Good"
68,71,75917.48,"PhD","Phoenix","Finance",77.1,24,8,"Excellent"
69,38,45308.09,"Bachelor","New York","Engineering",96.7,9,8,"Poor"
70,19,58782.58,"Bachelor","Houston","Sales",70,11,9,"Good"
71,72,56020.13,"High School","Phoenix","HR",63,6,5,"Poor"
72,55,54995.19,"High School","Los Angeles","Marketing",66.8,6,2,"Good"
73,75,91187.64,"Bachelor","Phoenix","HR",59.2,24,6,"Good"
74,27,38493.44,"Bachelor","Houston","Marketing",78.8,1,4,"Fair"
75,57,77909.41,"PhD","Houston","Engineering",79.9,15,6,"Poor"
76,22,55631.46,"Bachelor","Houston","Engineering",87.8,0,6,"Fair"
77,50,38295.88,"High School","Los Angeles","Finance",102,30,2,"Poor"
78,66,53624.73,"Bachelor","Houston","Marketing",96.1,19,1,"Poor"
79,56,69935.43,"High School","Los Angeles","Sales",NA,18,4,"Good"
80,53,46489.63,"Bachelor","Phoenix","Engineering",105,8,6,"Good"
81,62,39558.36,"Master","Los Angeles","Engineering",77.1,24,1,"Fair"
82,59,58055.28,"Bachelor","Chicago","Engineering",69.2,9,3,"Good"
83,26,74771.94,"High School","New York","Engineering",102.8,7,4,"Fair"
84,46,53530.83,"Bachelor","Phoenix","Marketing",81.4,14,9,"Excellent"
85,29,27259.47,"High School","Houston","HR",101,23,5,"Excellent"
86,37,28866.48,"High School","Chicago","HR",74.3,10,6,"Good"
87,26,39632.09,"Bachelor","New York","Sales",64,16,8,"Good"
88,60,44457.84,"Master","Phoenix","Finance",45.5,2,5,"Fair"
89,52,54571.46,"Bachelor","Phoenix","Finance",91.9,5,3,"Good"
90,46,68409.96,"Bachelor","Phoenix","HR",61.7,19,8,"Fair"
91,33,46307.66,"Bachelor","Chicago","Marketing",88.1,27,5,"Good"
92,54,32722.4,"High School","Houston","HR",76.8,4,6,"Poor"
93,45,67142.12,"High School","Los Angeles","Marketing",82.1,18,6,"Excellent"
94,73,60509.14,"Bachelor","New York","Engineering",94,11,4,"Excellent"
95,63,NA,"Bachelor","Chicago","Marketing",67.7,25,2,"Excellent"
96,22,21350.38,"High School","Houston","Engineering",68.1,11,10,"Good"
97,45,56746.38,"Master","New York","Sales",71.5,17,3,"Good"
98,71,82067.24,"High School","Houston","HR",90.9,30,1,"Good"
99,19,69483.48,"Master","Phoenix","Marketing",67.9,28,2,"Good"
100,35,38348.94,"Bachelor","Phoenix","Engineering",72.4,22,2,"Good"
101,41,69650.57,"High School","Los Angeles","HR",86.9,3,4,"Poor"
102,66,37561.46,"Master","Chicago","HR",86.7,1,10,"Excellent"
103,35,45932.05,"High School","New York","Marketing",87,13,6,"Good"
104,22,78750.69,"PhD","New York","Finance",75.7,29,5,"Excellent"
105,63,49197.09,"Bachelor","Chicago","Marketing",86.4,0,10,"Fair"
106,57,71570.92,"High School","Chicago","HR",79.3,8,8,"Excellent"
107,72,49175.45,"Bachelor","New York","Sales",65.5,17,6,"Poor"
108,57,23472.75,"Bachelor","Phoenix","Sales",102.1,10,7,"Good"
109,38,38023.69,"Bachelor","Houston","HR",47.1,16,7,"Fair"
110,53,33229.6,"PhD","Houston","HR",87.7,0,6,"Fair"
111,74,45314.19,"Master","Phoenix","HR",80.1,10,2,"Fair"
112,53,48273.78,"Master","Chicago","Engineering",75.3,14,1,"Good"
113,56,51932.84,"PhD","Los Angeles","Marketing",65.8,28,5,"Good"
114,59,50135.06,"High School","Los Angeles","Finance",71.1,1,1,"Good"
115,35,92844.04,"High School","New York","Engineering",102.1,11,3,"Fair"
116,44,27280.03,"PhD","Chicago","Marketing",73.5,13,7,"Good"
117,30,46703.51,"Bachelor","Chicago","Engineering",69.2,14,6,"Excellent"
118,70,61981.63,"PhD","New York","Engineering",61.8,0,3,"Poor"
119,71,87568.85,"PhD","Houston","Engineering",67.6,2,6,"Fair"
120,36,56770.44,"Bachelor","New York","Finance",73.7,21,8,"Good"
121,49,79783.01,"Master","Los Angeles","Finance",54.6,17,4,"Good"
122,33,22108.89,"Master","New York","Finance",92.1,4,5,"Poor"
123,71,83927.13,"High School","Phoenix","Finance",76.5,4,2,"Good"
124,77,41188.8,"Bachelor","Phoenix","HR",97,7,1,"Good"
125,46,49471.38,"Bachelor","Houston","Marketing",89.9,9,9,"Good"
126,34,32811.62,"Bachelor","Los Angeles","Marketing",96.2,9,9,"Good"
127,61,57677.39,"Bachelor","Los Angeles","Marketing",55,3,1,"Excellent"
128,26,90706.78,"Bachelor","Los Angeles","Finance",83.7,1,8,"Excellent"
129,74,103443.27,"High School","Houston","Engineering",69.6,3,8,"Fair"
130,38,33463.42,"Bachelor","Chicago","Finance",74.3,1,1,"Good"
131,79,64718.82,"Master","New York","Engineering",66,8,9,"Poor"
132,60,82770.43,"Master","Los Angeles","Sales",78.2,1,7,"Poor"
133,74,51086.86,"Bachelor","Chicago","Marketing",76.4,15,5,"Excellent"
134,75,50636.5,"Bachelor","Chicago","HR",43.2,22,8,"Good"
135,65,48904.44,"PhD","New York","Sales",87.8,18,7,"Good"
136,25,66956.65,"PhD","Houston","Sales",77.3,23,8,"Good"
137,46,82948.59,"Bachelor","Chicago","HR",60.4,6,9,"Good"
138,72,68752.4,"Master","Chicago","Engineering",58.5,7,1,"Good"
139,55,61403.76,"High School","Houston","Finance",64.6,4,10,"Fair"
140,18,48962.6,"Bachelor","Los Angeles","Engineering",51.2,17,3,"Good"
141,30,64966.97,"Bachelor","Los Angeles","Finance",77.1,27,6,"Fair"
142,31,44009.26,"Bachelor","Los Angeles","Engineering",97.5,14,3,"Good"
143,22,49414.87,"Bachelor","Los Angeles","Sales",77.9,0,9,"Good"
144,26,76930.27,"PhD","Houston","Marketing",82.9,19,9,"Good"
145,72,63840.26,"Bachelor","Houston","HR",52.8,11,1,"Good"
146,33,59820.33,"Bachelor","Phoenix","HR",51.9,3,2,"Good"
147,43,49887.85,"Master","Houston","Sales",61.6,29,6,"Fair"
148,60,73620.66,"Bachelor","Los Angeles","Engineering",85.8,27,1,"Good"
149,59,81698.25,"Bachelor","Houston","HR",61.7,23,8,"Good"
150,59,37614.56,"PhD","Houston","Sales",83.4,7,2,"Good"
151,73,56109.74,"Bachelor","New York","Marketing",71.7,4,2,"Good"
152,50,55981.34,"Master","Houston","Sales",80.8,12,7,"Good"
153,76,43432.89,"High School","Houston","Finance",59.4,10,6,"Excellent"
154,74,35025.23,"Bachelor","Houston","Marketing",60.8,20,5,"Excellent"
155,46,54951.34,"High School","New York","Finance",73.4,27,7,"Good"
156,42,68110.24,"PhD","Houston","Sales",71.9,24,1,"Good"
157,68,84536.85,"High School","Phoenix","Marketing",48.2,5,10,"Good"
158,80,16816.94,"PhD","Chicago","Sales",83.1,10,9,"Excellent"
159,49,40951.21,"Master","Los Angeles","Sales",45.8,23,7,"Poor"
160,34,48771.4,"High School","Phoenix","Engineering",68.8,15,1,"Good"
161,63,NA,"High School","Chicago","Engineering",75.8,6,4,"Good"
162,31,39989.33,"Bachelor","Los Angeles","Engineering",64.5,5,2,"Excellent"
163,64,39452.96,"Master","Houston","HR",53.9,25,3,"Good"
164,23,40548.61,"Bachelor","Chicago","HR",69,0,2,"Good"
165,73,11223.31,"Bachelor","New York","Engineering",73.3,29,1,"Good"
166,64,59268.37,"High School","Los Angeles","Finance",NA,25,9,"Fair"
167,60,42361.54,"Bachelor","Chicago","Finance",54.6,19,4,"Excellent"
168,79,85409.82,"Bachelor","New York","Engineering",57.1,3,2,"Excellent"
169,54,70919.12,"High School","Phoenix","Marketing",67.1,15,8,"Good"
170,33,25929.41,"Bachelor","Phoenix","Sales",68.2,1,2,"Good"
171,66,56967.91,"Bachelor","New York","Engineering",96.3,14,9,"Fair"
172,71,43124.58,"Bachelor","Phoenix","Sales",55.7,7,1,"Fair"
173,66,72765.62,"Master","New York","Engineering",80.7,13,4,"Good"
174,67,56061.41,"Bachelor","Chicago","Marketing",68.7,23,2,"Good"
175,48,43859.53,"Bachelor","Phoenix","Finance",76.4,10,8,"Fair"
176,51,63767.94,"PhD","Chicago","Finance",65,22,4,"Good"
177,47,58052.16,"Master","New York","Engineering",87,5,7,"Excellent"
178,49,51707.65,"Master","Los Angeles","Engineering",49.5,14,8,"Excellent"
179,23,95397.81,"Bachelor","Los Angeles","HR",77.3,17,1,"Good"
180,39,44412.28,"Bachelor","New York","Engineering",75.4,27,6,"Good"
181,55,45584.26,"Bachelor","Chicago","Sales",90.8,26,10,"Good"
182,48,24081.26,"High School","Houston","Finance",71.6,23,9,"Poor"
183,23,54189.47,"Bachelor","Los Angeles","Sales",82.4,17,7,"Good"
184,37,72807.13,"Bachelor","Chicago","HR",81,30,2,"Excellent"
185,77,13572.24,"High School","Los Angeles","HR",65.3,7,5,"Good"
186,32,49998.7,"Master","Chicago","HR",73.7,28,1,"Good"
187,51,31366.99,"Bachelor","Los Angeles","Engineering",73,10,6,"Excellent"
188,59,83838.75,"Bachelor","Houston","Sales",91.8,13,6,"Good"
189,40,82157.91,"Bachelor","Los Angeles","HR",78.6,27,10,"Good"
190,77,61690.06,"Master","Phoenix","HR",79.4,3,9,"Fair"
191,79,83586.76,"Bachelor","Chicago","HR",110.2,2,9,"Good"
192,29,37653.64,"Master","Los Angeles","Marketing",81.2,22,8,"Good"
193,43,74013.03,"Master","Phoenix","HR",80.4,27,4,"Good"
194,58,43299.77,"Bachelor","Chicago","Finance",83,9,6,"Good"
195,18,61419.15,"Master","Los Angeles","Finance",98.2,11,8,"Good"
196,19,49012.08,"Bachelor","Houston","HR",89.4,20,7,"Fair"
197,73,49429.14,"Bachelor","Phoenix","Marketing",80.1,8,10,"Poor"
198,41,65922.3,"Bachelor","Phoenix","Marketing",65.8,0,2,"Good"
199,51,28923.58,"Master","Chicago","Marketing",80.4,1,1,"Good"
200,42,49981.71,"High School","Houston","Finance",77.1,2,7,"Poor"
201,45,58420.15,"Bachelor","New York","Finance",47.5,14,10,"Good"
202,60,46930.65,"High School","Houston","HR",51.9,6,10,"Good"
203,78,57093.19,"Bachelor","Phoenix","Finance",48.1,4,7,"Good"
204,79,48622.38,"Bachelor","Houston","Engineering",96.2,20,2,"Good"
205,31,87366.88,"High School","Houston","Finance",84.3,15,5,"Good"
206,51,69283.77,"Master","New York","Finance",39.7,7,1,"Good"
207,77,114317.31,"Bachelor","New York","Marketing",82,29,5,"Excellent"
208,19,39098.45,"Master","Houston","Engineering",76,11,10,"Good"
209,48,71287.32,"Master","Los Angeles","Sales",71.2,28,7,"Good"
210,49,96960.62,"Master","Houston","HR",63.8,11,7,"Good"
211,44,61019.6,"High School","Los Angeles","Marketing",56,12,4,"Good"
212,27,33338.5,"Bachelor","Los Angeles","Sales",87.9,15,7,"Excellent"
213,74,34873.55,"Master","Los Angeles","Finance",66.3,28,1,"Good"
214,45,54291.71,"Bachelor","Phoenix","Marketing",73,25,8,"Fair"
215,71,81182.49,"Bachelor","Chicago","Sales",83.8,11,3,"Good"
216,54,70008.01,"Master","Chicago","HR",83,5,2,"Good"
217,27,12232.63,"High School","Houston","HR",69.1,9,7,"Fair"
218,66,40992.92,"High School","Houston","Marketing",66.9,23,7,"Fair"
219,66,54818.87,"High School","Chicago","Sales",78.9,12,8,"Excellent"
220,22,25837.33,"Bachelor","Chicago","Engineering",57.3,26,5,"Good"
221,52,68890.59,"High School","Los Angeles","Sales",79.6,28,1,"Fair"
222,31,5773.29,"High School","Phoenix","Engineering",77.6,9,6,"Poor"
223,31,57865.8,"High School","Los Angeles","HR",78.8,18,4,"Excellent"
224,45,47175.56,"Master","Phoenix","Finance",70.8,2,10,"Excellent"
225,75,45176.72,"High School","Los Angeles","Finance",49.1,27,8,"Good"
226,50,49327.05,"Bachelor","Houston","Finance",44.9,21,7,"Excellent"
227,54,61295.9,"High School","Los Angeles","Finance",55.6,12,7,"Good"
228,52,62926.53,"High School","Chicago","Finance",80.5,27,2,"Fair"
229,71,50487.93,"PhD","Los Angeles","HR",72.7,28,3,"Good"
230,43,16500.99,"Bachelor","New York","Marketing",64,15,3,"Fair"
231,80,26215.41,"Master","Phoenix","Finance",63.3,27,1,"Fair"
232,48,25606.84,"Bachelor","New York","Engineering",83.3,29,7,"Excellent"
233,62,70237.27,"Bachelor","Los Angeles","Marketing",50.8,6,5,"Good"
234,60,50127.7,"Master","New York","Marketing",86.2,17,7,"Fair"
235,69,60393.53,"PhD","Houston","Engineering",81.7,3,4,"Good"
236,75,23821.45,"Bachelor","New York","HR",61.9,13,4,"Excellent"
237,49,44288.24,"High School","Houston","Marketing",73.5,7,4,"Excellent"
238,34,66249.04,"Bachelor","Houston","Marketing",88.4,3,7,"Good"
239,76,51433.48,"Bachelor","Los Angeles","Finance",95.3,3,5,"Excellent"
240,44,52697.28,"Bachelor","Houston","Finance",97.3,21,10,"Excellent"
241,47,53558.77,"High School","New York","Engineering",80.6,4,9,"Excellent"
242,69,79218.2,"Bachelor","Phoenix","Marketing",71.8,20,6,"Good"
243,53,42702.06,"High School","Chicago","HR",81.8,11,4,"Fair"
244,37,68522.53,"High School","Phoenix","Finance",71.1,14,6,"Poor"
245,28,72971.99,"High School","New York","Engineering",NA,24,1,"Excellent"
246,34,31213.64,"Bachelor","Los Angeles","Engineering",87.7,24,2,"Good"
247,26,57425.18,"Bachelor","Phoenix","Finance",85.4,22,1,"Excellent"
248,34,54775.57,"Master","Houston","Sales",93.9,17,10,"Fair"
249,79,75582.81,"Bachelor","Phoenix","Marketing",100,3,2,"Good"
250,30,73295.5,"High School","Chicago","Engineering",97.1,29,6,"Good"
251,48,54950.87,"PhD","Houston","HR",86.8,24,9,"Poor"
252,79,57720.19,"Bachelor","Chicago","Marketing",74.5,11,1,"Good"
253,77,40596.93,"Master","Phoenix","HR",73.6,25,8,"Good"
254,80,51037.51,"Bachelor","Los Angeles","Marketing",68.8,21,10,"Good"
255,66,34415.82,"Bachelor","Houston","Engineering",63.3,3,6,"Fair"
256,78,NA,"High School","Chicago","Finance",69.1,6,1,"Poor"
257,69,30583.74,"Bachelor","Chicago","Sales",84.2,6,1,"Good"
258,18,71724.15,"Bachelor","Houston","HR",80.8,11,8,"Poor"
259,34,77299.44,"PhD","New York","Marketing",56.9,4,4,"Good"
260,50,46741.1,"Bachelor","Houston","Engineering",93,11,5,"Good"
261,45,32420.45,"PhD","Chicago","Finance",94.4,3,4,"Fair"
262,19,53241.37,"PhD","Chicago","Sales",97.2,13,9,"Fair"
263,48,99838.07,"Bachelor","Los Angeles","HR",56.6,13,1,"Good"
264,25,95826.26,"Bachelor","Los Angeles","Finance",68.8,13,10,"Good"
265,80,20603.99,"Bachelor","Chicago","HR",68.9,11,1,"Excellent"
266,33,47861.87,"Master","Phoenix","Marketing",68.2,1,10,"Fair"
267,20,85665.61,"PhD","Houston","Finance",66.5,5,9,"Fair"
268,54,54235.12,"High School","Chicago","HR",66.6,8,1,"Fair"
269,30,86948.26,"High School","Houston","HR",60.4,21,1,"Fair"
270,29,48328.29,"Master","Phoenix","HR",66.6,29,1,"Good"
271,18,67099.72,"High School","Phoenix","Sales",70,23,9,"Good"
272,47,59484.82,"Bachelor","Houston","Sales",77.9,27,10,"Fair"
273,68,119581.39,"High School","New York","HR",84.1,8,1,"Good"
274,77,73409.05,"High School","Houston","Finance",89.4,30,3,"Poor"
275,48,30869.22,"PhD","Los Angeles","Finance",63,3,8,"Excellent"
276,54,42922.38,"High School","Los Angeles","Marketing",75.6,3,9,"Good"
277,64,62404.71,"High School","Chicago","Engineering",110,29,5,"Fair"
278,73,16979.99,"Bachelor","Houston","HR",68.1,4,10,"Good"
279,23,18911.8,"PhD","Los Angeles","Sales",86.1,23,5,"Poor"
280,72,32563.55,"Bachelor","Phoenix","Engineering",64.5,18,2,"Fair"
281,33,48041.41,"High School","Chicago","Marketing",91,3,6,"Fair"
282,27,79778.04,"Bachelor","Houston","Finance",83.2,16,2,"Fair"
283,24,49516.05,"High School","New York","Finance",61.2,8,7,"Poor"
284,80,58247.61,"High School","New York","HR",90.4,27,7,"Fair"
285,26,53707.86,"Bachelor","Los Angeles","Finance",91.9,15,5,"Fair"
286,58,40895.26,"Bachelor","Phoenix","Finance",88.2,25,3,"Fair"
287,42,82243.95,"High School","Los Angeles","Engineering",33.5,27,5,"Good"
288,20,33069.74,"Master","New York","Finance",77.2,0,1,"Good"
289,35,50431.33,"Master","Los Angeles","Engineering",97.8,4,4,"Poor"
290,70,48043.44,"Master","Houston","HR",72.4,20,4,"Fair"
291,64,65642.57,"High School","Chicago","Engineering",65.1,9,6,"Poor"
292,45,87144.69,"Bachelor","Phoenix","HR",72.7,25,10,"Good"
293,77,65276.29,"PhD","New York","Marketing",39.3,22,10,"Good"
294,32,82647.46,"Bachelor","Los Angeles","Finance",57.9,22,8,"Excellent"
295,46,70261.94,"PhD","New York","Finance",73.7,4,1,"Fair"
296,74,42508.31,"Bachelor","Phoenix","Engineering",87.5,18,10,"Excellent"
297,37,56630.88,"Master","Chicago","HR",78.2,4,10,"Good"
298,42,82521.58,"Bachelor","Chicago","Sales",84.6,17,1,"Good"
299,33,23774.68,"High School","Phoenix","Sales",59.5,17,2,"Good"
300,71,61495.41,"PhD","Phoenix","Engineering",97.3,26,3,"Poor"
